I/O, Name        , Simbad_Identifier      , Reference  , Ref  , Loc, System, RA_hms     , RA_deg    , DEC_dms    , DEC_deg, Teff, logg, Fe/H, Vmic, epsc, epsn, epso , epsna, epsmg, epsal, epssi, epsk, epsca, epssc, epsti1, epsti, epscr, epsmn, epsfe, epsfe2, epsco, epsni, epszn, ulc, uln, ulo , ulna, ulmg, ulal, ulsi, ulk, ulca, ulsc, ulti1, ulti, ulcr, ulmn, ulfe, ulfe2, ulco, ulni, ulzn, [C/H], [N/H], [O/H], [Na/H], [Mg/H], [Al/H], [Si/H], [K/H], [Ca/H], [Sc/H], [Ti1/H], [Ti/H], [Cr/H], [Mn/H], [Fe/H], [Fe2/H], [Co/H], [Ni/H], [Zn/H], ul[C/H], ul[N/H], ul[O/H], ul[Na/H], ul[Mg/H], ul[Al/H], ul[Si/H], ul[K/H], ul[Ca/H], ul[Sc/H], ul[Ti1/H], ul[Ti/H], ul[Cr/H], ul[Mn/H], ul[Fe/H], ul[Fe2/H], ul[Co/H], ul[Ni/H], ul[Zn/H], [C/Fe], [N/Fe], [O/Fe], [Na/Fe], [Mg/Fe], [Al/Fe], [Si/Fe], [K/Fe], [Ca/Fe], [Sc/Fe], [Ti1/Fe], [Ti/Fe], [Cr/Fe], [Mn/Fe], [Fe2/Fe], [Co/Fe], [Ni/Fe], [Zn/Fe], ul[C/Fe], ul[N/Fe], ul[O/Fe], ul[Na/Fe], ul[Mg/Fe], ul[Al/Fe], ul[Si/Fe], ul[K/Fe], ul[Ca/Fe], ul[Sc/Fe], ul[Ti1/Fe], ul[Ti/Fe], ul[Cr/Fe], ul[Mn/Fe], ul[Fe2/Fe], ul[Co/Fe], ul[Ni/Fe], ul[Zn/Fe], e_c, e_n, e_o, e_na, e_mg, e_al, e_si, e_k, e_ca, e_sc, e_ti1, e_ti, e_cr, e_mn, e_fe, e_fe2, e_co, e_ni, e_zn, e_[C/H], e_[N/H], e_[O/H], e_[Na/H], e_[Mg/H], e_[Al/H], e_[Si/H], e_[K/H], e_[Ca/H], e_[Sc/H], e_[Ti1/H], e_[Ti/H], e_[Cr/H], e_[Mn/H], e_[Fe/H], e_[Fe2/H], e_[Co/H], e_[Ni/H], e_[Zn/H]
  1, CS 22956-050, BPS CS 22956-0050      , Cayrel+2004, CAY04, HA ,       , 21:58:05.83, 329.524292, +65:13:27.1, 65.22  , 4900,  1.7, -3.3,  1.8, 5.46,     ,      ,      ,  4.62,  2.49,  5.0 , 2.08,  3.49, -0.2 ,   2.04,  1.98,  2.0 ,  1.55,  4.18,   4.16,  1.98,  2.93,  1.57,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.97,      ,      ,       , -2.98 , -3.96 , -2.51 , -2.95, -2.85 , -3.35 , -2.91  , -2.97 , -3.64 , -3.88 , -3.32 , -3.34  , -3.01 , -3.29 , -2.99 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.35  ,       ,       ,        ,    0.34, -0.64  ,    0.81,   0.37,    0.47, -0.03  ,     0.41, 0.35   , -0.32  , -0.56  , -0.02   , 0.31   , 0.03   ,    0.33,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.11,     ,     ,    , 0.13, 0.07,  0.04, 0.12, 0.12, 0.05, 0.13,  0.1 , 0.1 , 0.03,     ,        ,        ,        ,         ,     0.11,         ,         ,        ,     0.13,     0.07,      0.04,     0.12,     0.12,     0.05,     0.13,      0.1 ,     0.1 ,     0.03, 
  1, BS 17569-049, BPS BS 17569-0049      , Cayrel+2004, CAY04, HA ,       , 22:04:58.36, 331.243167, +04:01:32.1, 4.03   , 4700,  1.2, -3.0,  1.9, 5.45, 5.8 ,      ,  3.87,  4.95,  3.12,  5.27, 2.73,  3.89, 0.35 ,   2.42,  2.37,  2.54,  2.09,  4.65,   4.6 ,  2.37,  3.41,  1.95,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.98, -2.03,      , -2.37 , -2.65 , -3.33 , -2.24 , -2.3 , -2.45 , -2.8  , -2.53  , -2.58 , -3.1  , -3.34 , -2.85 , -2.9   , -2.62 , -2.81 , -2.61 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.13 ,   0.82,       , 0.48   ,    0.2 , -0.48  ,    0.61,   0.55,    0.4 , 0.05   ,     0.32, 0.27   , -0.25  , -0.49  , -0.05   , 0.23   , 0.04   ,    0.24,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.2 ,     ,     ,    , 0.13, 0.16,  0.06, 0.12, 0.08, 0.05, 0.17,  0.1 , 0.09, 0.07,     ,        ,        ,        ,         ,     0.2 ,         ,         ,        ,     0.13,     0.16,      0.06,     0.12,     0.08,     0.05,     0.17,      0.1 ,     0.09,     0.07, 
  1, CS 22892-052, BPS CS 22892-0052      , Cayrel+2004, CAY04, HA ,       , 22:17:01.65, 334.256875, +16:39:27.1, 16.66  , 4850,  1.6, -3.0,  1.9, 6.38, 5.42, 6.21 ,  3.35,  4.77,  2.7 ,  4.95, 2.53,  3.65, 0.12 ,   2.15,  2.12,  2.32,  1.88,  4.46,   4.48,  2.0 ,  3.01,  1.77,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.05, -2.41, -2.48, -2.89 , -2.83 , -3.75 , -2.56 , -2.5 , -2.69 , -3.03 , -2.8   , -2.83 , -3.32 , -3.55 , -3.04 , -3.02  , -2.99 , -3.21 , -2.79 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.99  ,   0.63,   0.56, 0.15   ,    0.21, -0.71  ,    0.48,   0.54,    0.35, 0.01   ,     0.24, 0.21   , -0.28  , -0.51  , 0.02    , 0.05   , -0.17  ,    0.25,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.13,     ,     ,    , 0.11, 0.1 ,  0.12, 0.13, 0.14, 0.07, 0.14,  0.07, 0.14, 0.11,     ,        ,        ,        ,         ,     0.13,         ,         ,        ,     0.11,     0.1 ,      0.12,     0.13,     0.14,     0.07,     0.14,      0.07,     0.14,     0.11, 
  1, CS 29502-042, 2MASS J22214882+0228448, Cayrel+2004, CAY04, HA ,       , 22:21:48.82, 335.453417, +02:28:44.8, 2.48   , 5100,  2.5, -3.0,  1.5, 5.56,     ,      ,  2.69,  4.62,  2.47,  4.65, 2.23,  3.39, 0.17 ,   2.09,  2.07,  2.11,  1.64,  4.31,   4.31,  2.09,  3.0 ,  1.6 ,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.87,      ,      , -3.55 , -2.98 , -3.98 , -2.86 , -2.8 , -2.95 , -2.98 , -2.86  , -2.88 , -3.53 , -3.79 , -3.19 , -3.19  , -2.9  , -3.22 , -2.96 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.32  ,       ,       , -0.36  ,    0.21, -0.79  ,    0.33,   0.39,    0.24, 0.21   ,     0.33, 0.31   , -0.34  , -0.6   , 0.0     , 0.29   , -0.03  ,    0.23,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.1 ,     ,     ,    , 0.13, 0.13,  0.06, 0.09, 0.09, 0.01, 0.11,  0.15, 0.07, 0.07,     ,        ,        ,        ,         ,     0.1 ,         ,         ,        ,     0.13,     0.13,      0.06,     0.09,     0.09,     0.01,     0.11,      0.15,     0.07,     0.07, 
  1, CS 29516-024, 2MASS J22261535+0251462, Cayrel+2004, CAY04, HA ,       , 22:26:15.35, 336.563958, +02:51:46.2, 2.86   , 4650,  1.2, -3.0,  1.7, 5.45,     , 6.33 ,  3.63,  5.0 ,  2.82,  5.05,     ,  3.85, 0.17 ,   2.21,  2.18,  2.3 ,  1.89,  4.43,   4.45,  2.11,  3.04,  1.74,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.98,      , -2.36, -2.61 , -2.6  , -3.63 , -2.46 ,      , -2.49 , -2.98 , -2.74  , -2.77 , -3.34 , -3.54 , -3.07 , -3.05  , -2.88 , -3.18 , -2.82 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.09  ,       ,   0.71, 0.46   ,    0.47, -0.56  ,    0.61,       ,    0.58, 0.09   ,     0.33, 0.3    , -0.27  , -0.47  , 0.02    , 0.19   , -0.11  ,    0.25,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.11,     ,     ,    , 0.1 , 0.1 ,  0.03, 0.09, 0.08, 0.05, 0.1 ,  0.15, 0.1 , 0.15,     ,        ,        ,        ,         ,     0.11,         ,         ,        ,     0.1 ,     0.1 ,      0.03,     0.09,     0.08,     0.05,     0.1 ,      0.15,     0.1 ,     0.15, 
  1, CS 29491-053, BPS CS 29491-0053      , Cayrel+2004, CAY04, HA ,       , 22:36:56.3 , 339.234583, +28:31:06.4, 28.52  , 4700,  1.3, -3.0,  2.0, 5.2 ,     , 6.49 ,  3.54,  5.07,  2.94,  5.05, 2.66,  3.72, 0.25 ,   2.22,  2.24,  2.22,  1.83,  4.47,   4.46,  2.07,  3.11,  1.83,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.23,      , -2.2 , -2.7  , -2.53 , -3.51 , -2.46 , -2.37, -2.62 , -2.9  , -2.73  , -2.71 , -3.42 , -3.6  , -3.03 , -3.04  , -2.92 , -3.11 , -2.73 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.2  ,       ,   0.83, 0.33   ,    0.5 , -0.48  ,    0.57,   0.66,    0.41, 0.13   ,     0.3 , 0.32   , -0.39  , -0.57  , -0.01   , 0.11   , -0.08  ,    0.3 ,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.16,     ,     ,    , 0.1 , 0.08,  0.08, 0.1 , 0.13, 0.06, 0.16,  0.09, 0.12, 0.08,     ,        ,        ,        ,         ,     0.16,         ,         ,        ,     0.1 ,     0.08,      0.08,     0.1 ,     0.13,     0.06,     0.16,      0.09,     0.12,     0.08, 
  1, CS 22949-037, HE 2323-0256           , Cayrel+2004, CAY04, HA ,       , 23:26:29.8 , 351.624167, +02:39:57.9, 2.67   , 4900,  1.5, -4.0,  1.8, 5.72, 6.52, 6.78 ,  3.8 ,  5.17,  2.34,  4.35, 1.38,  2.73, -0.7 ,   1.4 ,  1.41,  1.29,  0.96,  3.51,   3.56,  1.28,  2.19,  1.29,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.71, -1.31, -1.91, -2.44 , -2.43 , -4.11 , -3.16 , -3.65, -3.61 , -3.85 , -3.55  , -3.54 , -4.35 , -4.47 , -3.99 , -3.94  , -3.71 , -4.03 , -3.27 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 1.28  ,   2.68,   2.08, 1.55   ,    1.56, -0.12  ,    0.83,   0.34,    0.38, 0.14   ,     0.44, 0.45   , -0.36  , -0.48  , 0.05    , 0.28   , -0.04  ,    0.72,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.19,     ,     ,    , 0.17, 0.14,  0.09, 0.15, 0.1 ,     , 0.11,  0.11, 0.07, 0.02,     ,        ,        ,        ,         ,     0.19,         ,         ,        ,     0.17,     0.14,      0.09,     0.15,     0.1 ,         ,     0.11,      0.11,     0.07,     0.02, 
  1, CS 22952-015, HE 2334-0604           , Cayrel+2004, CAY04, HA ,       , 23:37:28.69, 354.369542, +05:47:56.6, 5.8    , 4800,  1.3, -3.4,  2.1,     ,     ,      ,      ,  4.15,  2.58,  4.45, 2.18,  3.07, -0.37,   1.69,  1.59,  1.78,  1.63,  4.05,   4.09,  1.62,  2.7 ,  1.42,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     ,      ,      ,      ,       , -3.45 , -3.87 , -3.06 , -2.85, -3.27 , -3.52 , -3.26  , -3.36 , -3.86 , -3.8  , -3.45 , -3.41  , -3.37 , -3.52 , -3.14 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         ,       ,       ,       ,        ,    0.0 , -0.42  ,    0.39,   0.6 ,    0.18, -0.07  ,     0.19, 0.09   , -0.41  , -0.35  , 0.04    , 0.08   , -0.07  ,    0.31,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.08,     ,     ,    , 0.14, 0.05,  0.09, 0.11, 0.15, 0.16, 0.14,  0.1 , 0.1 , 0.1 ,     ,        ,        ,        ,         ,     0.08,         ,         ,        ,     0.14,     0.05,      0.09,     0.11,     0.15,     0.16,     0.14,      0.1 ,     0.1 ,     0.1 , 
  1, CS 22966-057, 2MASS J23485776-2939228, Cayrel+2004, CAY04, HA ,       , 23:48:57.76, 357.240667, +29:39:22.8, 29.66  , 5300,  2.2, -2.6,  1.4, 5.96,     , 7.14 ,  4.18,  5.08,  2.99,  5.5 , 2.91,  4.1 , 0.61 ,   2.71,  2.69,  2.86,  2.33,  4.89,   4.88,  2.67,  3.76,  2.24,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.47,      , -1.55, -2.06 , -2.52 , -3.46 , -2.01 , -2.12, -2.24 , -2.54 , -2.24  , -2.26 , -2.78 , -3.1  , -2.61 , -2.62  , -2.32 , -2.46 , -2.32 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.14  ,       ,   1.06, 0.55   ,    0.09, -0.85  ,    0.6 ,   0.49,    0.37, 0.07   ,     0.37, 0.35   , -0.17  , -0.49  , -0.01   , 0.29   , 0.15   ,    0.29,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.2 ,     ,     ,    , 0.1 , 0.08,  0.04, 0.08, 0.06, 0.06, 0.12,  0.12, 0.06, 0.01,     ,        ,        ,        ,         ,     0.2 ,         ,         ,        ,     0.1 ,     0.08,      0.04,     0.08,     0.06,     0.06,     0.12,      0.12,     0.06,     0.01, 
  1, CS 31082-001, BD-16   251            , Cayrel+2004, CAY04, HA ,       , 01:29:31.13,  22.379708, +16:00:45.4, 16.01  , 4825,  1.5, -2.9,  1.8, 5.82, 5.22, 6.46 ,  3.7 ,  5.04,  2.83,  4.89, 2.87,  3.87, 0.28 ,   2.37,  2.43,  2.43,  1.98,  4.6 ,   4.58,  2.28,  3.37,  1.88,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.61, -2.61, -2.23, -2.54 , -2.56 , -3.62 , -2.62 , -2.16, -2.47 , -2.87 , -2.58  , -2.52 , -3.21 , -3.45 , -2.9  , -2.92  , -2.71 , -2.85 , -2.68 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.29  ,   0.29,   0.67, 0.36   ,    0.34, -0.72  ,    0.28,   0.74,    0.43, 0.03   ,     0.32, 0.38   , -0.31  , -0.55  , -0.02   , 0.19   , 0.05   ,    0.22,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.13,     ,     ,    , 0.11, 0.07,  0.09, 0.14, 0.11, 0.03, 0.13,  0.11, 0.11, 0.02,     ,        ,        ,        ,         ,     0.13,         ,         ,        ,     0.11,     0.07,      0.09,     0.14,     0.11,     0.03,     0.13,      0.11,     0.11,     0.02, 
  1, BD-18 5550  , BD-18  5550            , Cayrel+2004, CAY04, HA ,       , 19:58:49.74, 299.70725 , -18:12:11.1, -18.2  , 4750,  1.4, -3.0,  1.8, 5.44,     , 6.13 ,  3.32,  4.83,  2.82,  4.88, 2.58,  3.71, 0.15 ,   2.12,  2.1 ,  2.27,  1.95,  4.44,   4.44,  2.05,  3.14,  1.76,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.99,      , -2.56, -2.92 , -2.77 , -3.63 , -2.63 , -2.45, -2.63 , -3.0  , -2.83  , -2.85 , -3.37 , -3.48 , -3.06 , -3.06  , -2.94 , -3.08 , -2.8  ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.07  ,       ,   0.5 , 0.14   ,    0.29, -0.57  ,    0.43,   0.61,    0.43, 0.06   ,     0.23, 0.21   , -0.31  , -0.42  , 0.0     , 0.12   , -0.02  ,    0.26,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.15,     ,     ,    , 0.1 , 0.09,  0.04, 0.09, 0.1 , 0.05, 0.12,  0.1 , 0.12, 0.1 ,     ,        ,        ,        ,         ,     0.15,         ,         ,        ,     0.1 ,     0.09,      0.04,     0.09,     0.1 ,     0.05,     0.12,      0.1 ,     0.12,     0.1 , 
  1, BD+17 3248  , BD+17  3248            , Cayrel+2004, CAY04, HA ,       , 17:28:14.47, 262.060292, +17:30:35.8, 17.51  , 5250,  1.4, -2.0,  1.5, 6.02, 6.42, 7.39 ,  4.95,  5.7 ,  3.7 ,  6.0 , 3.88,  4.69, 1.3  ,   3.18,  3.28,  3.39,  2.86,  5.46,   5.41,  3.21,  4.19,  2.54,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.41, -1.41, -1.3 , -1.29 , -1.9  , -2.75 , -1.51 , -1.15, -1.65 , -1.85 , -1.77  , -1.67 , -2.25 , -2.57 , -2.04 , -2.09  , -1.78 , -2.03 , -2.02 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.37 ,   0.63,   0.74, 0.75   ,    0.14, -0.71  ,    0.53,   0.89,    0.39, 0.19   ,     0.27, 0.37   , -0.21  , -0.53  , -0.05   , 0.26   , 0.01   ,    0.02,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.1 ,     ,     ,    , 0.08, 0.16,  0.08, 0.17, 0.2 , 0.02, 0.15,  0.09,     , 0.08,     ,        ,        ,        ,         ,     0.1 ,         ,         ,        ,     0.08,     0.16,      0.08,     0.17,     0.2 ,     0.02,     0.15,      0.09,         ,     0.08, 
  1, CS 22873-166, BPS CS 22873-0166      , Cayrel+2004, CAY04, HA ,       , 20:19:22.02, 304.84175 , +61:30:14.9, 61.5   , 4550,  0.9, -3.0,  2.1, 5.4 , 6.0 ,      ,  3.69,  5.14,  3.11,  5.0 , 2.66,  3.76, 0.28 ,   2.25,  2.25,  2.36,  1.92,  4.58,   4.49,  2.12,  3.2 ,  1.81,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.03, -1.83,      , -2.55 , -2.46 , -3.34 , -2.51 , -2.37, -2.58 , -2.87 , -2.7   , -2.7  , -3.28 , -3.51 , -2.92 , -3.01  , -2.87 , -3.02 , -2.75 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.11 ,   1.09,       , 0.37   ,    0.46, -0.42  ,    0.41,   0.55,    0.34, 0.05   ,     0.22, 0.22   , -0.36  , -0.59  , -0.09   , 0.05   , -0.1   ,    0.17,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.18,     ,     ,    , 0.1 , 0.1 ,  0.09, 0.13, 0.12, 0.06, 0.19,  0.11, 0.13, 0.1 ,     ,        ,        ,        ,         ,     0.18,         ,         ,        ,     0.1 ,     0.1 ,      0.09,     0.13,     0.12,     0.06,     0.19,      0.11,     0.13,     0.1 , 
  1, CD-38 245   , CD-38   245            , Cayrel+2004, CAY04, HA ,       , 0:46:36.19 ,  11.650792, -37:39:33.6, -37.66 , 4800,  1.5, -4.0,  2.2, <4.0,     ,      ,  2.08,  3.59,  1.61,  3.56,     ,  2.37, -0.98,   1.2 ,  1.08,  1.04,  0.61,  3.3 ,   3.33,  1.1 ,  1.88,  1.1 , 4.0,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     ,      ,      ,      , -4.16 , -4.01 , -4.84 , -3.95 ,      , -3.97 , -4.13 , -3.75  , -3.87 , -4.6  , -4.82 , -4.2  , -4.17  , -3.89 , -4.34 , -3.46 , -4.43  ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         ,       ,       ,       , 0.04   ,    0.19, -0.64  ,    0.25,       ,    0.23, 0.07   ,     0.45, 0.33   , -0.4   , -0.62  , 0.03    , 0.31   , -0.14  ,    0.74, -0.23   ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.08,     ,     ,    , 0.17,     ,  0.04, 0.11, 0.12, 0.03, 0.2 ,  0.13, 0.08,     ,     ,        ,        ,        ,         ,     0.08,         ,         ,        ,     0.17,         ,      0.04,     0.11,     0.12,     0.03,     0.2 ,      0.13,     0.08,         , 
  1, HD 122563   , HD 122563              , Cayrel+2004, CAY04, HA ,       , 14:02:31.85, 210.632708, +09:41:09.9, 9.69   , 4600,  1.1, -2.8,  2.0, 5.3 ,     , 6.57 ,  3.75,  5.13,  3.28,  5.2 , 2.82,  3.86, 0.46 ,   2.32,  2.38,  2.46,  2.17,  4.72,   4.65,  2.39,  3.47,  1.94,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.13,      , -2.12, -2.49 , -2.47 , -3.17 , -2.31 , -2.21, -2.48 , -2.69 , -2.63  , -2.57 , -3.18 , -3.26 , -2.78 , -2.85  , -2.6  , -2.75 , -2.62 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.35 ,       ,   0.66, 0.29   ,    0.31, -0.39  ,    0.47,   0.57,    0.3 , 0.09   ,     0.15, 0.21   , -0.4   , -0.48  , -0.07   , 0.18   , 0.03   ,    0.16,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.12,     ,     ,    , 0.1 , 0.1 ,  0.1 , 0.1 , 0.17, 0.06, 0.17,  0.13, 0.13, 0.09,     ,        ,        ,        ,         ,     0.12,         ,         ,        ,     0.1 ,     0.1 ,      0.1 ,     0.1 ,     0.17,     0.06,     0.17,      0.13,     0.13,     0.09, 
  1, HD 186478   , HD 186478              , Cayrel+2004, CAY04, HA ,       , 19:45:14.14, 296.308917, -17:29:27.1, -17.49 , 4700,  1.3, -2.6,  2.0, 5.6 , 5.75, 6.93 ,  3.94,  5.38,  3.32,  5.4 , 3.19,  4.21, 0.68 ,   2.68,  2.72,  2.76,  2.33,  4.93,   4.9 ,  2.54,  3.49,  2.14,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.83, -2.08, -1.76, -2.3  , -2.22 , -3.13 , -2.11 , -1.84, -2.13 , -2.47 , -2.27  , -2.23 , -2.88 , -3.1  , -2.57 , -2.6   , -2.45 , -2.73 , -2.42 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.26 ,   0.49,   0.81, 0.27   ,    0.35, -0.56  ,    0.46,   0.73,    0.44, 0.1    ,     0.3 , 0.34   , -0.31  , -0.53  , -0.03   , 0.12   , -0.16  ,    0.15,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.08,     ,     ,    , 0.1 , 0.12,  0.07, 0.1 , 0.14, 0.04, 0.18,  0.14, 0.19, 0.15,     ,        ,        ,        ,         ,     0.08,         ,         ,        ,     0.1 ,     0.12,      0.07,     0.1 ,     0.14,     0.04,     0.18,      0.14,     0.19,     0.15, 
  1, HD 2796     , HD   2796              , Cayrel+2004, CAY04, HA ,       , 00:31:16.91,   7.820458, -16:47:40.8, -16.79 , 4950,  1.5, -2.4,  2.1, 5.55,     , 6.8  ,  4.2 ,  5.36,  3.35,  5.48, 3.25,  4.22, 0.79 ,   2.75,  2.79,  2.95,  2.54,  5.05,   5.02,  2.59,  3.7 ,  2.37,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -2.88,      , -1.89, -2.04 , -2.24 , -3.1  , -2.03 , -1.78, -2.12 , -2.36 , -2.2   , -2.16 , -2.69 , -2.89 , -2.45 , -2.48  , -2.4  , -2.52 , -2.19 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , -0.43 ,       ,   0.56, 0.41   ,    0.21, -0.65  ,    0.42,   0.67,    0.33, 0.09   ,     0.25, 0.29   , -0.24  , -0.44  , -0.03   , 0.05   , -0.07  ,    0.26,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.14,     ,     ,    , 0.1 , 0.11,  0.06, 0.09, 0.13, 0.01, 0.13,  0.13,     , 0.14,     ,        ,        ,        ,         ,     0.14,         ,         ,        ,     0.1 ,     0.11,      0.06,     0.09,     0.13,     0.01,     0.13,      0.13,         ,     0.14, 
  1, CS 22948-066, HE 2141-3741           , Cayrel+2004, CAY04, HA ,       , 21:44:51.17, 326.213208, +37:27:54.9, 37.47  , 5100,  1.8, -3.0,  2.0, 5.36,     , 6.52 ,  3.34,  4.72,  2.5 ,  4.7 , 2.43,  3.49, 0.29 ,   2.16,  2.08,  2.24,  2.13,  4.35,   4.37,  2.2 ,  3.25,  1.83,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.07,      , -2.17, -2.9  , -2.88 , -3.95 , -2.81 , -2.6 , -2.85 , -2.86 , -2.79  , -2.87 , -3.4  , -3.3  , -3.15 , -3.13  , -2.79 , -2.97 , -2.73 ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.08  ,       ,   0.98, 0.25   ,    0.27, -0.8   ,    0.34,   0.55,    0.3 , 0.29   ,     0.36, 0.28   , -0.25  , -0.15  , 0.02    , 0.36   , 0.18   ,    0.42,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.08,     ,     ,    , 0.13, 0.03,  0.11, 0.08, 0.11, 0.03, 0.11,  0.06, 0.09, 0.05,     ,        ,        ,        ,         ,     0.08,         ,         ,        ,     0.13,     0.03,      0.11,     0.08,     0.11,     0.03,     0.11,      0.06,     0.09,     0.05, 
  1, BS 16467-062, BPS BS 16467-0062      , Cayrel+2004, CAY04, HA ,       , 13:42:00.63, 205.502625, +17:48:40.8, 17.81  , 5200,  2.5, -4.0,  1.6, 5.0 ,     ,      ,  2.39,  3.97,  1.8 ,  4.2 , 1.78,  2.94, -0.59,   1.65,  1.43,  1.49,  1.07,  3.67,   3.79,  1.7 ,  2.56,  1.06,    ,    ,     ,     ,     ,     ,     ,    ,     ,     ,      ,     ,     ,     ,     ,      ,     ,     ,     , -3.43,      ,      , -3.85 , -3.63 , -4.65 , -3.31 , -3.25, -3.4  , -3.74 , -3.3   , -3.52 , -4.15 , -4.36 , -3.83 , -3.71  , -3.29 , -3.66 , -3.5  ,        ,        ,        ,         ,         ,         ,         ,        ,         ,         ,          ,         ,         ,         ,         ,          ,         ,         ,         , 0.4   ,       ,       , -0.02  ,    0.2 , -0.82  ,    0.52,   0.58,    0.43, 0.09   ,     0.53, 0.31   , -0.32  , -0.53  , 0.12    , 0.54   , 0.17   ,    0.33,         ,         ,         ,          ,          ,          ,          ,         ,          ,          ,           ,          ,          ,          ,           ,          ,          ,          ,    ,    ,    ,     , 0.09,     ,     ,    , 0.19, 0.06,  0.17, 0.18, 0.29, 0.03, 0.14,  0.12, 0.1 , 0.03,     ,        ,        ,        ,         ,     0.09,         ,         ,        ,     0.19,     0.06,      0.17,     0.18,     0.29,     0.03,     0.14,      0.12,     0.1 ,     0.03, 