Name,Species,f_Species,N,logepsX_sun,l_[X/H],[X/H],u_[X/H],l_[X/Fe],[X/Fe],u_[X/Fe],e_logepsX
TucII-006,C-H,,2,8.43,,-2.05,,,0.88,,0.27
#TucII-006,C-H,b,2,8.43,,-1.69,,,1.24,,0.27
TucII-006,Na I,,2,6.24,,-2.78,,,0.15,,0.27
TucII-006,Mg I,,2,7.60,,-2.97,,,-0.04,,0.37
TucII-006,Al I,,1,6.45,,-3.62,:,,-0.69,:,
TucII-006,Si I,,1,7.51,,-2.71,:,,0.22,:,
TucII-006,Ca I,,2,6.34,,-2.61,,,0.32,,0.27
TucII-006,Sc II,,5,3.15,,-3.00,,,-0.07,,0.27
TucII-006,Ti II,,12,4.95,,-2.81,,,0.12,,0.27
TucII-006,Cr I,,3,5.64,,-3.51,,,-0.58,,0.27
TucII-006,Mn I,,3,5.43,,-3.27,,,-0.34,,0.27
TucII-006,Fe I,,52,7.50,,-2.93,,,0.00,,0.27
TucII-006,Fe II,,3,7.50,,-2.93,,,0.00,,0.27
TucII-006,Co I,,1,4.99,,-2.75,,,0.18,,0.34
TucII-006,Ni I,,2,6.22,,-2.84,,,0.09,,0.66
TucII-006,Sr II,,2,2.87,,-4.39,,,-1.46,,0.27
TucII-006,Ba II,,2,2.18,,-4.20,,,-1.27,,0.27
TucII-006,Eu I,,1,0.52,<,-2.02,,<,0.91,,
TucII-011,C-H,,2,8.43,,-3.27,,,-0.35,,0.31
#TucII-011,C-H,b,2,8.43,,-2.63,,,0.29,,0.31
TucII-011,Na I,,2,6.24,,-2.35,,,0.57,,0.23
TucII-011,Mg I,,5,7.60,,-2.41,,,0.51,,0.16
TucII-011,Al I,,2,6.45,,-3.57,:,,-0.65,:,
TucII-011,Si I,,2,7.51,,-2.38,:,,0.54,:,
TucII-011,Ca I,,10,6.34,,-2.44,,,0.48,,0.21
TucII-011,Sc II,,6,3.15,,-2.80,,,0.12,,0.16
TucII-011,Ti I,,2,4.95,,-2.73,,,0.19,,0.16
TucII-011,Ti II,,17,4.95,,-2.60,,,0.32,,0.22
TucII-011,Cr I,,5,5.64,,-3.24,,,-0.32,,0.20
TucII-011,Mn I,,3,5.43,,-3.89,,,-0.97,,0.17
TucII-011,Fe I,,99,7.50,,-2.92,,,0.00,,0.16
TucII-011,Fe II,,11,7.50,,-2.91,,,0.01,,0.16
TucII-011,Co I,,3,4.99,,-2.77,,,0.15,,0.21
TucII-011,Ni I,,3,6.22,,-2.77,,,0.15,,0.22
TucII-011,Sr II,,2,2.87,,-4.52,,,-1.60,,0.19
TucII-011,Ba II,,1,2.18,,-4.82,,,-1.90,,0.20
TucII-011,Eu I,,1,0.52,<,-2.27,,<,0.65,,
TucII-033,C-H,,2,8.43,,-2.33,,,0.08,,0.18
#TucII-033,C-H,b,2,8.43,,-1.81,,,0.60,,0.18
TucII-033,Na I,,2,6.24,,-2.54,,,-0.13,,0.12
TucII-033,Mg I,,4,7.60,,-2.25,,,0.16,,0.12
TucII-033,Al I,,2,6.45,,-3.27,:,,-0.86,:,
TucII-033,Si I,,2,7.51,,-2.23,:,,0.18,:,
TucII-033,Ca I,,8,6.34,,-2.34,,,0.07,,0.12
TucII-033,Sc II,,5,3.15,,-2.50,,,-0.09,,0.12
TucII-033,Ti I,,2,4.95,,-1.94,,,0.47,,0.51
TucII-033,Ti II,,12,4.95,,-2.49,,,-0.08,,0.27
TucII-033,Cr II,,1,5.64,,-2.42,,,-0.01,,0.32
TucII-033,Cr I,,5,5.64,,-2.70,,,-0.29,,0.12
TucII-033,Mn I,,3,5.43,,-2.95,,,-0.54,,0.30
TucII-033,Fe I,,92,7.50,,-2.41,,,0.00,,0.12
TucII-033,Fe II,,12,7.50,,-2.39,,,0.02,,0.14
TucII-033,Co I,,2,4.99,,-2.24,,,0.17,,0.26
TucII-033,Sr II,,2,2.87,,-2.80,,,-0.39,,0.26
TucII-033,Ba II,,2,2.18,,-3.40,,,-0.99,,0.39
TucII-033,Eu I,,1,0.52,<,-2.21,,<,0.20,,
TucII-052,C-H,,2,8.43,,-2.53,,,0.70,,0.20
#TucII-052,C-H,b,2,8.43,,-2.33,,,0.90,,0.20
TucII-052,Na I,,2,6.24,,-3.00,,,0.23,,0.29
TucII-052,Mg I,,2,7.60,,-2.87,,,0.36,,0.20
TucII-052,Al I,,1,6.45,,-3.73,:,,-0.50,:,
TucII-052,Si I,,2,7.51,,-2.91,:,,0.32,:,
TucII-052,Ca I,,4,6.34,,-2.78,,,0.45,,0.20
TucII-052,Sc II,,5,3.15,,-2.99,,,0.24,,0.20
TucII-052,Ti II,,12,4.95,,-2.85,,,0.38,,0.25
TucII-052,Cr I,,5,5.64,,-3.56,,,-0.33,,0.20
TucII-052,Mn I,,4,5.43,,-3.53,,,-0.30,,0.21
TucII-052,Fe I,,56,7.50,,-3.23,,,0.00,,0.20
TucII-052,Fe II,,3,7.50,,-3.21,,,0.02,,0.20
TucII-052,Co I,,3,4.99,,-2.88,,,0.35,,0.20
TucII-052,Ni I,,2,6.22,,-3.10,,,0.13,,0.20
TucII-052,Sr II,,2,2.87,,-4.28,,,-1.05,,0.20
TucII-052,Ba II,,2,2.18,,-4.13,,,-0.90,,0.20
TucII-052,Eu I,,1,0.52,<,-1.98,,<,1.25,,
TucII-078,C-H,,2,8.43,,-2.36,,,0.33,,0.20
#TucII-078,C-H,b,2,8.43,,-2.26,,,0.43,,0.20
TucII-078,Na I,,2,6.24,,-3.34,,,-0.65,,0.20
TucII-078,Mg I,,5,7.60,,-2.27,,,0.42,,0.20
TucII-078,Al I,,2,6.45,,-3.09,:,,-0.40,:,
TucII-078,Si I,,2,7.51,,-2.20,:,,0.49,:,
TucII-078,Ca I,,8,6.34,,-2.25,,,0.44,,0.20
TucII-078,Sc II,,6,3.15,,-2.51,,,0.18,,0.20
TucII-078,Ti I,,1,4.95,,-2.39,,,0.30,,0.36
TucII-078,Ti II,,20,4.95,,-2.22,,,0.47,,0.25
TucII-078,Cr I,,5,5.64,,-2.97,,,-0.28,,0.26
TucII-078,Mn I,,2,5.43,,-3.54,,,-0.85,,0.20
TucII-078,Fe I,,83,7.50,,-2.69,,,0.00,,0.20
TucII-078,Fe II,,9,7.50,,-2.69,,,0.00,,0.20
TucII-078,Co I,,1,4.99,,-2.35,,,0.34,,0.42
TucII-078,Ni I,,2,6.22,,-2.58,,,0.11,,0.24
TucII-078,Sr II,,1,2.87,<,-4.69,,<,-2.00,,
TucII-078,Ba II,,1,2.18,<,-4.59,,<,-1.90,,
TucII-078,Eu I,,1,0.52,<,-1.94,,<,0.75,,
TucII-203,C-H,,2,8.43,,-2.76,,,0.32,,0.20
#TucII-203,C-H,b,2,8.43,,-2.44,,,0.64,,0.20
TucII-203,Na I,,2,6.24,,-2.99,,,0.09,,0.26
TucII-203,Mg I,,2,7.60,,-2.70,,,0.38,,0.20
TucII-203,Al I,,2,6.45,,-3.60,:,,-0.52,:,
TucII-203,Si I,,1,7.51,,-2.78,:,,0.30,:,
TucII-203,Ca I,,4,6.34,,-2.88,,,0.20,,0.20
TucII-203,Sc II,,5,3.15,,-3.08,,,0.00,,0.20
TucII-203,Ti II,,14,4.95,,-2.77,,,0.31,,0.28
TucII-203,V II,,1,3.93,,-1.88,,,1.20,,0.21
TucII-203,Cr I,,3,5.64,,-3.34,,,-0.26,,0.20
TucII-203,Mn I,,3,5.43,,-4.03,,,-0.95,,0.20
TucII-203,Fe I,,59,7.50,,-3.08,,,0.00,,0.20
TucII-203,Fe II,,4,7.50,,-3.07,,,0.01,,0.20
TucII-203,Co I,,2,4.99,,-3.00,,,0.08,,0.20
TucII-203,Ni I,,3,6.22,,-3.04,,,0.04,,0.20
TucII-203,Sr II,,1,2.87,,-4.48,,,-1.40,,0.30
TucII-203,Ba II,,1,2.18,,-4.38,,,-1.30,,0.20
TucII-203,Eu I,,1,0.52,<,-2.08,,<,1.00,,
TucII-206,C-H,,2,8.43,,-2.87,,,0.47,,0.28
#TucII-206,C-H,b,2,8.43,,-2.61,,,0.73,,0.28
TucII-206,Na I,,2,6.24,,-2.72,,,0.62,,0.46
TucII-206,Mg I,,3,7.60,,-2.89,,,0.45,,0.28
TucII-206,Al I,,2,6.45,,-3.96,:,,-0.62,:,
TucII-206,Si I,,1,7.51,,-3.14,:,,0.20,:,
TucII-206,Ca I,,2,6.34,,-3.08,,,0.26,,0.32
TucII-206,Sc II,,5,3.15,,-3.09,,,0.25,,0.28
TucII-206,Ti II,,9,4.95,,-3.07,,,0.27,,0.28
TucII-206,Cr I,,3,5.64,,-3.46,,,-0.12,,0.28
TucII-206,Mn I,,3,5.43,,-3.81,,,-0.47,,0.28
TucII-206,Fe I,,46,7.50,,-3.34,,,0.00,,0.28
TucII-206,Fe II,,3,7.50,,-3.33,,,0.01,,0.34
TucII-206,Sr II,,2,2.87,,-4.64,,,-1.30,,0.28
TucII-206,Ba II,,1,2.18,,-4.19,,,-0.85,,0.28
TucII-206,Eu I,,1,0.52,<,-2.04,,<,1.30,,
