Name,Simbad_Identifier,RA_hms,DEC_dms,gmag,rmag,imag,g-r,Vel,e_Vel,Ref
300S-1,,10:09:15.0,+15:59:48.4,17.99,17.49,17.26,0.73,307,,"N10 (Segue1-11)"
300S-2,,10:07:40.1,+16:03:09.7,19.96,19.55,19.44,0.52,298/303.1,3.1,"N10/S11"
300S-3,,10:06:59.0,+15:44:18.8,19.72,19.33,19.14,0.58,307,,"N10"
300S-4,,10:06:51.8,+15:49:41.5,20.36,20.04,19.91,0.45,300,,"AAO"
300S-5,,10:06:20.0,+15:46:12.7,20.09,19.78,19.67,0.42,315,,"AAO"
300S-6,,10:06:12.0,+15:45:48.4,20.08,19.62,19.61,0.47,327,,"N10"
300S-7,,10:05:30.6,+15:54:18.1,19.83,19.49,19.31,0.52,305,,"N10"
300S-8,,10:06:27.7,+15:54:08.6,20.15,19.88,19.71,0.44,300,,"AAO"
300S-9,,10:06:47.7,+16:13:30.1,20.01,19.70,19.51,0.50,300,,"AAO"
300S-10,,10:06:58.5,+16:20:45.6,19.84,19.37,19.18,0.66,295,,"N10"
300S-11,,10:08:39.7,+16:28:26.7,19.16,18.73,18.60,0.56,288,,"N10"
300S-12,,10:06:00.2,+16:05:18.6,20.22,19.68,19.51,0.71,242,,"N10"
300S-13,,10:06:18.7,+16:03:39.0,21.67,21.14,20.90,0.77,268.6,3.1,"S11"
300S-14,,10:06:20.0,+16:00:42.1,21.70,21.41,21.18,0.52,305.5,4.3,"S11"
300S-15,,10:06:30.9,+16:15:12.1,21.47,21.13,20.95,0.52,321.0,8.8,"S11"
300S-16,,10:06:42.8,+15:57:09.3,21.56,21.23,21.02,0.54,291.9,6.4,"S11"
300S-17,,10:06:46.8,+16:06:08.3,20.53,20.22,20.07,0.46,294.5,2.9,"S11"
300S-18,,10:06:48.5,+16:09:58.1,20.27,19.98,19.79,0.48,306.0,2.6,"S11"
300S-19,,10:06:50.8,+16:03:51.2,22.13,21.95,21.83,0.30,312.6,11.9,"G09, S11"
300S-20,,10:06:54.2,+15:55:20.7,22.12,21.53,21.29,0.83,268.5,6.2,"S11"
300S-21,,10:06:56.1,+16:06:60.0,21.34,21.09,20.99,0.35,302.0,2.6,"S11"
300S-22,,10:06:58.5,+15:57:48.9,21.56,21.09,20.84,0.72,290.5,3.6,"S11"
300S-23,,10:07:04.6,+16:01:30.8,21.22,20.81,20.76,0.46,295.8,3.9,"S11"
300S-24,,10:07:04.6,+16:08:12.6,21.08,20.85,20.74,0.34,296.9,3.4,"S11"
300S-25,,10:07:08.4,+15:56:46.3,22.03,21.56,21.45,0.58,286.3,5.4,"S11"
300S-26,,10:07:09.1,+16:04:36.6,22.29,21.88,21.57,0.72,312.7,6.4,"S11"
300S-27,,10:07:09.7,+15:53:12.3,16.11,15.83,15.72,0.39,303.4,2.2,"S11"
300S-28,,10:07:13.0,+15:57:34.8,18.28,18.00,17.87,0.41,307.9,2.4,"S11"
300S-29,,10:07:13.7,+16:04:44.8,22.13,21.76,21.47,0.66,293.4,4.8,"G09, S11"
300S-30,,10:07:15.5,+16:05:52.1,20.36,20.07,19.97,0.39,282.0,2.8,"S11"
300S-31,,10:07:15.5,+16:15:19.1,20.74,20.43,20.42,0.32,266.8,3.1,"S11"
300S-32,,10:07:17.2,+16:05:11.9,22.10,21.78,21.38,0.72,266.3,4.4,"S11"
300S-33,,10:07:17.4,+16:03:55.6,20.11,19.77,19.64,0.47,295.9,2.4,"G09, S11"
300S-34,,10:07:20.0,+16:01:37.5,17.62,17.27,17.12,0.50,312.7,2.2,"S11"
300S-35,,10:07:21.2,+16:11:18.2,20.99,19.73,19.20,1.79,281.6,2.4,"S11"
300S-36,,10:07:21.8,+15:54:24.5,20.61,20.22,20.22,0.39,307.2,5.5,"S11"
300S-37,,10:07:29.6,+16:11:07.1,20.35,19.34,19.02,1.33,309.6,2.2,"S11"
300S-38,,10:07:32.5,+16:05:00.5,22.58,22.04,21.91,0.67,281.1,6.9,"G09, S11"
300S-39,,10:07:35.0,+15:54:31.5,20.78,20.54,20.39,0.39,303.2,2.8,"S11"
300S-40,,10:07:37.3,+16:07:46.2,21.25,20.99,20.81,0.44,296.0,3.9,"S11"
300S-41,,10:07:40.2,+15:58:55.6,21.32,20.96,20.80,0.52,295.8,3.8,"S11"
300S-42,,10:07:42.5,+16:00:06.8,22.47,22.02,21.46,1.01,296.6,10.3,"S11"
300S-43,,10:07:43.8,+15:49:32.9,22.47,20.98,20.36,2.11,299.2,2.5,"S11"
300S-44,,10:07:47.2,+16:05:45.5,20.13,19.77,19.67,0.46,294.3,2.4,"S11"
300S-45,,10:07:35.9,+16:11:25.7,23.79,22.08,22.00,1.79,242.2,7.8,"S11"
300S-46,,10:06:25.7,+15:54:22.1,21.58,21.13,20.95,0.63,244.3,5.6,"S11"
300S-47,,10:07:11.8,+16:06:30.4,22.80,22.16,21.95,0.85,247.1,15.9,"S11"
300S-48,,10:07:07.8,+16:07:21.5,20.64,20.34,20.23,0.41,247.7,2.8,"S11"
300S-49,,10:07:35.2,+15:57:15.3,22.53,21.13,20.41,2.12,255.1,3.0,"S11"
300S-50,,10:06:28.4,+15:56:28.8,17.85,17.56,17.43,0.42,347.1,2.9,"S11"
300S-51,,10:07:36.9,+15:59:58.9,21.99,21.87,21.60,0.39,373.0,6.0,"S11"
300S-52,,10:06:51.7,+16:17:59.2,21.40,20.92,20.95,0.45,394.9,8.9,"S11"