Name,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
BPS CS 30339-069,Magellan-Clay/MIKE,SAS,4000,2003,Jul,20,09,54,2452840.915,+31.0
BPS CS 30339-073,Magellan-Clay/MIKE,SAS,4000,2003,Jul,18,08,59,2452838.877,+163.2
BPS CS 30339-073,Magellan-Clay/MIKE,SAS,4000,2003,Jul,19,08,45,2452839.867,+163.3
BPS CS 30492-001,Magellan-Clay/MIKE,GWP,1650,2008,Sep,10,01,18,2454719.558,-116.2
BPS CS 30492-016,Magellan-Clay/MIKE,GWP,2600,2005,Aug,20,05,55,2453602.752,+67.7
BPS CS 30492-016,Magellan-Clay/MIKE,IUR,3600,2012,Aug,25,03,21,2456164.644,+68.0
BPS CS 30492-110,Magellan-Clay/MIKE,GWP,7100,2007,Aug,24,02,20,2454336.602,+44.8
BPS CS 30492-110,Magellan-Clay/MIKE,IBT,3100,2009,Jul,25,06,25,2455037.780,+45.0
BPS CS 30493-071,Magellan-Clay/MIKE,IBT,2000,2007,Aug,04,08,22,2454316.853,-6.6
BPS CS 30494-003,Magellan-Clay/MIKE,IUR,800,2012,Aug,25,07,48,2456164.826,-47.0
BPS CS 31082-001,Magellan-Clay/MIKE,SAS,1800,2003,Jul,19,10,27,2452839.937,+138.9
BD-20 6008,Magellan-Clay/MIKE,GWP,550,2009,Sep,05,05,45,2455079.744,+23.0
BD-18 5550,McDonald-Smith/Tull,IUR,3900,2009,May,07,10,34,2454958.942,-125.9
BD-18 5550,McDonald-Smith/Tull,IUR,3900,2009,May,08,10,42,2454959.948,-126.2
BD-15 5781,Magellan-Clay/MIKE,IBT,720,2009,Oct,24,23,48,2455129.492,-75.4
BD-01 2582,McDonald-Smith/Tull,IUR,5400,2009,Mar,06,06,25,2454896.773,+2.2
BD-01 2582,McDonald-Smith/Tull,IUR,2700,2009,Jun,12,03,24,2454994.642,+1.8
BD+10 2495,McDonald-Smith/Tull,IUR,5600,2009,May,06,06,23,2454957.771,+250.8
BD+10 2495,McDonald-Smith/Tull,IUR,3600,2009,Jun,10,04,31,2454992.690,+250.8
BD+19 1185A,McDonald-Smith/Tull,IUR,4500,2008,Oct,31,09,42,2454770.908,-191.6
BD+24 1676,McDonald-Smith/Tull,IUR,7200,2008,Oct,30,11,05,2454769.963,-236.7
BD+24 1676,McDonald-Smith/Tull,IUR,3600,2008,Nov,01,10,47,2454771.951,-238.1
BD+24 1676,McDonald-Smith/Tull,IUR,7200,2008,Nov,02,11,13,2454772.969,-237.9
BD+24 1676,McDonald-Smith/Tull,IUR,7200,2008,Nov,03,11,43,2454773.990,-237.6
BD+26 3578,McDonald-Smith/Tull,IUR,4500,2008,Oct,30,01,30,2454769.562,-126.4
BD+29 2356,McDonald-Smith/Tull,IUR,5400,2009,Jun,11,05,45,2454993.741,-207.3
BD+44 493,McDonald-Smith/Tull,IUR,7200,2008,Aug,14,10,56,2454692.956,-149.7
BD+44 493,McDonald-Smith/Tull,IUR,3600,2008,Nov,04,09,01,2454774.881,-150.0
BD+80 245,McDonald-Smith/Tull,IUR,7200,2009,May,06,03,25,2454957.641,+5.2
CD-38 245,Magellan-Baade/MIKE,SAS,800,2003,Jun,24,10,33,2452814.940,+46.1
CD-38 245,Magellan-Clay/MIKE,IBT,480,2004,Sep,24,07,22,2453272.811,+46.2
CD-36 1052,Magellan-Clay/MIKE,IBT,1200,2009,Jul,04,10,12,2455016.924,+304.7
CD-30 298,Magellan-Clay/MIKE,IBT,360,2009,Jul,25,10,45,2455037.951,+28.2
CD-24 1782,Magellan-Clay/MIKE,IBT,180,2009,Jul,26,10,48,2455038.949,+101.3
G004-036,McDonald-Smith/Tull,IUR,7200,2008,Oct,30,07,15,2454769.808,+222.3
G004-036,McDonald-Smith/Tull,IUR,5400,2008,Nov,01,07,58,2454771.838,+221.5
G004-036,McDonald-Smith/Tull,IUR,7200,2008,Nov,04,06,45,2454774.787,+221.6
G004-037,McDonald-Smith/Tull,IUR,5400,2008,Oct,31,07,51,2454770.833,-107.7
G004-037,McDonald-Smith/Tull,IUR,5400,2008,Nov,02,08,13,2454772.848,-108.7
G004-037,McDonald-Smith/Tull,IUR,7200,2008,Nov,03,06,45,2454773.787,-106.9
G009-027,McDonald-HET/HRS,IUR,1900,2008,Dec,12,08,36,2454812.862,+181.4
G010-054,McDonald-HET/HRS,IUR,2700,2009,Jan,11,10,07,2454842.924,+58.9
G015-010,Magellan-Clay/MIKE,IBT,1200,2009,Feb,21,09,43,2454883.906,+90.0
G015-010,McDonald-HET/HRS,IUR,1100,2009,Mar,16,10,59,2454906.961,+89.3
G015-010,Magellan-Clay/MIKE,IBT,2100,2009,May,16,05,48,2454967.747,+90.1
G016-025,McDonald-HET/HRS,IUR,3000,2008,May,27,08,39,2454613.866,+24.0
G016-025,McDonald-HET/HRS,IUR,3000,2008,Jun,04,07,59,2454621.838,+23.4
G025-022,McDonald-HET/HRS,IUR,3200,2008,Nov,04,03,59,2454774.667,-150.8
G025-024,McDonald-Smith/Tull,IUR,1200,2008,Sep,07,04,45,2454716.703,+43.7
G025-024,McDonald-HET/HRS,IUR,3300,2008,Oct,19,03,56,2454758.666,+44.2
G026-001,McDonald-Smith/Tull,IUR,5400,2008,Sep,05,05,14,2454714.723,+12.1
G026-001,McDonald-Smith/Tull,IUR,8400,2009,Jun,12,09,57,2454994.918,+2.0
G026-001,McDonald-Smith/Tull,IUR,6000,2009,Jun,13,09,59,2454995.919,+2.0
G064-012,Magellan-Clay/MIKE,IBT,1200,2009,Feb,19,09,31,2454881.900,+442.7
G071-055,McDonald-Smith/Tull,IUR,5400,2008,Oct,31,04,10,2454770.679,-30.6
G071-055,McDonald-Smith/Tull,IUR,5400,2008,Oct,31,05,53,2454770.751,-31.3
G071-055,McDonald-Smith/Tull,IUR,5400,2008,Nov,04,04,49,2454774.706,-31.4
G075-056,McDonald-HET/HRS,IUR,2100,2008,Nov,07,06,55,2454777.793,+24.1
G088-023,McDonald-HET/HRS,IUR,2100,2008,Nov,03,09,31,2454773.899,-199.5
G090-003,McDonald-Smith/Tull,IUR,7200,2008,Oct,31,11,18,2454770.973,+29.7
G090-003,McDonald-Smith/Tull,IUR,3600,2008,Nov,03,10,03,2454773.921,+29.7
G090-003,McDonald-Smith/Tull,IUR,6400,2008,Nov,04,11,07,2454774.965,+29.5
G090-003,McDonald-Smith/Tull,IUR,5400,2009,Feb,19,01,59,2454881.587,+29.6
G090-025,McDonald-Smith/Tull,IUR,1500,2008,Nov,01,12,14,2454772.011,-234.3
G090-025,McDonald-Smith/Tull,IUR,1800,2009,Feb,18,04,23,2454880.687,-234.0
G107-050,McDonald-HET/HRS,IUR,1500,2008,Oct,13,09,52,2454752.912,+148.7
G115-049,McDonald-HET/HRS,IUR,1400,2009,Jan,09,11,45,2454840.995,-65.2
G122-069,McDonald-HET/HRS,IUR,1900,2008,Dec,12,11,52,2454812.995,-100.9
G126-062,McDonald-Smith/Tull,IUR,2100,2008,Sep,08,03,33,2454717.653,-290.3
G126-062,McDonald-Smith/Tull,IUR,4800,2008,Nov,03,01,26,2454773.562,-292.8
G137-086,McDonald-HET/HRS,IUR,3200,2008,Jun,13,07,44,2454630.827,-83.3
G137-086,McDonald-HET/HRS,IUR,2600,2008,Jun,14,07,56,2454631.835,-83.3
G137-086,McDonald-HET/HRS,IUR,2600,2008,Jun,24,07,09,2454641.802,-84.2
G146-056,McDonald-HET/HRS,IUR,4500,2009,Jan,02,08,49,2454833.871,-104.5
G146-076,McDonald-Smith/Tull,IUR,5400,2009,Feb,18,09,32,2454880.902,-114.1
G146-076,McDonald-Smith/Tull,IUR,7200,2009,Feb,19,08,24,2454881.855,-114.0
G146-076,McDonald-Smith/Tull,IUR,5400,2009,May,07,05,24,2454958.726,-114.2
G153-064,McDonald-Smith/Tull,IUR,7800,2009,May,06,09,25,2454957.898,+114.5
G153-064,McDonald-Smith/Tull,IUR,9000,2009,May,07,08,31,2454958.860,+114.1
G153-064,McDonald-Smith/Tull,IUR,3600,2009,May,08,09,30,2454959.901,+114.2
G153-064,McDonald-Smith/Tull,IUR,7200,2009,Jun,12,05,42,2454994.743,+113.8
G161-073,McDonald-Smith/Tull,IUR,7200,2009,Feb,19,03,44,2454881.661,+121.3
G161-073,McDonald-Smith/Tull,IUR,7200,2009,Feb,19,06,00,2454881.755,+121.0
G166-047,McDonald-HET/HRS,IUR,1900,2009,Jan,17,11,30,2454848.979,-66.2
G170-047,McDonald-Smith/Tull,IUR,4000,2008,Aug,14,04,44,2454692.699,-283.7
G170-047,McDonald-Smith/Tull,IUR,2400,2009,Mar,06,12,21,2454897.014,-283.1
G170-047,McDonald-Smith/Tull,IUR,3600,2009,Mar,09,12,15,2454900.010,-283.2
G180-058,McDonald-Smith/Tull,IUR,8000,2009,Jun,10,07,04,2454992.797,-308.1
G180-058,McDonald-Smith/Tull,IUR,6000,2009,Jun,12,07,42,2454994.823,-308.4
G180-058,McDonald-Smith/Tull,IUR,5700,2009,Jun,13,08,09,2454995.842,-308.4
G186-026,McDonald-Smith/Tull,IUR,680,2009,Jun,14,09,48,2454996.911,-323.2
G186-026,McDonald-Smith/Tull,IUR,4500,2009,Jun,15,10,26,2454997.937,-324.0
G188-022,McDonald-Smith/Tull,IUR,5400,2008,Aug,13,09,38,2454691.906,-94.3
G188-022,McDonald-Smith/Tull,IUR,3600,2008,Sep,05,06,51,2454714.790,-94.6
G188-030,McDonald-Smith/Tull,IUR,7200,2008,Oct,31,02,10,2454770.593,-184.7
G188-030,McDonald-Smith/Tull,IUR,7200,2008,Nov,02,01,48,2454772.577,-183.3
G188-030,McDonald-Smith/Tull,IUR,5400,2008,Nov,04,01,26,2454774.562,-184.5
G190-010,McDonald-Smith/Tull,IUR,5400,2008,Sep,07,06,09,2454716.760,-112.9
G190-010,McDonald-Smith/Tull,IUR,7200,2008,Sep,07,07,57,2454716.835,-113.6
G190-010,McDonald-Smith/Tull,IUR,5400,2008,Oct,30,04,06,2454769.675,-114.1
G190-010,McDonald-Smith/Tull,IUR,5400,2008,Nov,01,04,20,2454771.684,-114.3
G190-010,McDonald-Smith/Tull,IUR,5400,2008,Nov,03,03,06,2454773.633,-111.2
G190-015,McDonald-Smith/Tull,IUR,1800,2008,Aug,14,07,51,2454692.830,-44.7
G190-015,McDonald-Smith/Tull,IUR,5400,2008,Sep,06,08,51,2454715.873,-57.0
G190-015,McDonald-Smith/Tull,IUR,5400,2008,Oct,30,05,30,2454769.733,-58.8
G190-015,McDonald-Smith/Tull,IUR,3600,2008,Nov,02,04,50,2454772.705,-60.1
G190-015,McDonald-Smith/Tull,IUR,3600,2008,Nov,04,03,05,2454774.632,-59.7
G199-066,McDonald-HET/HRS,IUR,3200,2008,May,24,07,04,2454610.795,-144.1
G201-044,McDonald-Smith/Tull,IUR,5400,2009,Jun,11,07,23,2454993.808,-139.3
G201-044,McDonald-Smith/Tull,IUR,3600,2009,Jun,13,04,31,2454995.689,-139.3
G201-044,McDonald-Smith/Tull,IUR,3000,2009,Jun,15,05,30,2454997.730,-139.4
G206-034,McDonald-Smith/Tull,IUR,7200,2008,Sep,06,02,57,2454715.625,-80.4
G206-034,McDonald-Smith/Tull,IUR,7200,2008,Sep,07,03,12,2454716.635,-78.2
G206-034,McDonald-Smith/Tull,IUR,8000,2009,Jun,11,09,46,2454993.910,-91.8
G214-001,McDonald-HET/HRS,IUR,1800,2008,Oct,08,06,27,2454747.772,-118.4
G234-028,McDonald-Smith/Tull,IUR,7200,2009,Feb,18,07,10,2454880.801,+84.8
G234-028,McDonald-Smith/Tull,IUR,7200,2009,May,07,03,20,2454958.637,+71.1
G238-030,McDonald-HET/HRS,IUR,1400,2008,Jun,17,03,59,2454634.665,+225.9
G238-032,McDonald-HET/HRS,IUR,2700,2009,Jan,15,12,54,2454847.040,-113.3
HD 6268,Magellan-Clay/MIKE,IBT,180,2009,Jul,04,10,31,2455016.939,+39.7
HD 11582,Magellan-Clay/MIKE,GWP,300,2008,Sep,09,06,53,2454718.791,+22.4
HD 13979,Magellan-Clay/MIKE,IBT,240,2003,Nov,03,07,11,2452946.804,+52.3
HD 13979,Magellan-Clay/MIKE,IBT,400,2004,Sep,24,07,09,2453272.802,+52.2
HD 16031,McDonald-Smith/Tull,IUR,5400,2008,Nov,02,06,30,2454772.776,+23.0
HD 19445,McDonald-Smith/Tull,IUR,2800,2008,Nov,03,08,22,2454773.854,-139.9
HD 21581,Magellan-Clay/MIKE,IUR,200,2011,Feb,25,00,25,2455617.516,+153.7
HD 26169,Magellan-Clay/MIKE,IUR,200,2011,Feb,25,00,33,2455617.522,-39.7
HD 26297,Magellan-Clay/MIKE,IUR,120,2011,Feb,25,00,40,2455617.527,+15.8
HD 31128,McDonald-Smith/Tull,IUR,2400,2008,Oct,30,09,28,2454769.898,+111.3
HD 31128,McDonald-Smith/Tull,IUR,4800,2008,Nov,01,09,15,2454771.889,+110.1
HD 45282,McDonald-Smith/Tull,IUR,1500,2008,Nov,02,09,33,2454772.901,+306.1
HD 45282,McDonald-Smith/Tull,IUR,2800,2009,Feb,18,03,44,2454880.659,+306.0
HD 88609,McDonald-Smith/Tull,IUR,2800,2009,Feb,19,09,55,2454881.917,-37.9
HD 88609,McDonald-Smith/Tull,IUR,2100,2009,Mar,06,05,24,2454896.729,-37.0
HD 94028,McDonald-Smith/Tull,IUR,2400,2009,Feb,18,05,30,2454880.735,+65.9
HD 94028,McDonald-Smith/Tull,IUR,900,2009,Jun,12,02,43,2454994.612,+65.3
HD 106373,Magellan-Clay/MIKE,IBT,2700,2009,Feb,21,09,21,2454883.893,+84.2
HD 106373,McDonald-Smith/Tull,IUR,200,2009,May,06,05,03,2454957.715,+83.1
HD 108317,McDonald-Smith/Tull,IUR,2100,2009,Feb,19,12,41,2454882.033,+5.4
HD 108317,Magellan-Clay/MIKE,IBT,120,2009,Feb,21,09,27,2454883.899,+5.9
HD 119516,McDonald-Smith/Tull,IUR,2700,2009,May,07,06,40,2454958.782,-285.9
HD 122196,Magellan-Clay/MIKE,GWP,80,2008,Sep,09,23,45,2454719.486,-27.6
HD 122563,McDonald-HET/HRS,IUR,120,2008,May,26,06,53,2454612.791,-26.1
HD 122563,McDonald-Smith/Tull,IUR,60,2009,Feb,18,12,40,2454881.031,-26.5
HD 122563,Magellan-Clay/MIKE,IBT,26,2009,Feb,19,09,53,2454881.915,-25.7
HD 126238,Magellan-Clay/MIKE,GWP,105,2009,Sep,04,23,27,2455079.475,+252.6
HD 126587,Magellan-Clay/MIKE,IBT,360,2004,Jul,14,23,00,2453201.460,+149.4
HD 126587,Magellan-Clay/MIKE,IBT,360,2004,Jul,19,22,49,2453206.452,+149.5
HD 126587,Magellan-Clay/MIKE,IBT,360,2004,Jul,24,23,02,2453211.461,+149.8
HD 128279,Magellan-Clay/MIKE,IBT,20,2004,Jun,22,22,57,2453179.460,-76.1
HD 128279,Magellan-Clay/MIKE,IBT,200,2004,Jul,14,22,49,2453201.453,-75.7
HD 128279,Magellan-Clay/MIKE,IBT,90,2004,Jul,23,22,59,2453210.459,-75.7
HD 128279,Magellan-Clay/MIKE,IBT,240,2005,May,31,03,05,2453521.634,-75.3
HD 132475,McDonald-Smith/Tull,IUR,2400,2009,Feb,18,12,09,2454881.007,+176.1
HD 132475,Magellan-Clay/MIKE,IBT,200,2009,Feb,19,09,47,2454881.909,+176.5
HD 175305,McDonald-Smith/Tull,IUR,1500,2009,May,06,11,14,2454957.967,-184.2
HD 175606,Magellan-Clay/MIKE,GWP,300,2008,Sep,09,23,56,2454719.499,+165.4
HD 178443,Magellan-Baade/MIKE,SAS,400,2003,May,23,06,32,2452782.776,+343.6
HD 178443,Magellan-Clay/MIKE,IBT,300,2005,May,28,06,13,2453518.763,+343.6
HD 184266,McDonald-Smith/Tull,IUR,900,2008,Oct,31,00,51,2454770.534,-349.4
HD 186478,Magellan-Baade/MIKE,SAS,200,2003,May,24,06,25,2452783.771,+27.4
HD 188510,McDonald-Smith/Tull,IUR,2400,2008,Sep,06,04,25,2454715.688,-193.4
HD 193901,Magellan-Baade/MIKE,SAS,400,2003,May,23,10,40,2452782.947,-171.5
HD 196892,McDonald-Smith/Tull,IUR,1800,2008,Aug,14,06,45,2454692.787,-35.7
HD 196944,Magellan-Clay/MIKE,IBT,120,2009,Oct,24,23,33,2455129.482,-166.8
HD 200654,Magellan-Baade/MIKE,SAS,200,2003,May,24,10,27,2452783.938,-45.3
HD 200654,Magellan-Clay/MIKE,IBT,100,2005,May,30,10,29,2453520.940,-44.4
HD 201891,McDonald-Smith/Tull,IUR,1800,2008,Aug,13,08,31,2454691.860,-44.6
HD 214362,McDonald-Smith/Tull,IUR,1800,2008,Sep,08,06,49,2454717.790,-93.3
HD 214362,McDonald-Smith/Tull,IUR,3000,2008,Oct,30,02,37,2454769.611,-93.0
HD 214362,McDonald-Smith/Tull,IUR,3000,2008,Nov,02,03,18,2454772.640,-93.6
HD 219617,McDonald-Smith/Tull,IUR,1800,2008,Aug,14,08,25,2454692.856,+12.6
HD 220127,Magellan-Clay/MIKE,GWP,180,2008,Sep,11,03,35,2454720.653,+77.2
HD 237846,McDonald-Smith/Tull,IUR,6000,2009,Jun,11,03,30,2454993.643,-303.8
HD 237846,McDonald-Smith/Tull,IUR,2100,2009,Jun,14,02,58,2454996.620,-303.5
HE 0454-4758,Magellan-Clay/MIKE,GWP,3000,2008,Sep,11,09,35,2454720.900,+240.2
HE 0938+0114,McDonald-Smith/Tull,IUR,7200,2009,Mar,07,02,49,2454897.623,-56.7
HE 0938+0114,McDonald-Smith/Tull,IUR,780,2009,Mar,11,06,04,2454901.758,-57.4
HE 0938+0114,McDonald-Smith/Tull,IUR,5400,2009,May,08,03,01,2454959.627,-57.6
HE 1012-1540,Magellan-Clay/MIKE,IUR,1800,2013,Apr,21,23,40,2456404.489,+225.4
HE 1012-1540,Magellan-Clay/MIKE,IUR,5400,2013,Apr,23,01,45,2456405.576,+225.8
HE 1124-2335,Magellan-Clay/MIKE,IUR,4800,2013,Apr,21,00,24,2456403.521,+181.5
HE 1320-1339,McDonald-Smith/Tull,IUR,900,2009,Feb,18,10,56,2454880.959,+172.9
HE 1320-1339,Magellan-Clay/MIKE,IBT,5400,2009,Feb,19,09,06,2454881.883,+172.9
HE 1320-1339,McDonald-Smith/Tull,IUR,9000,2009,Feb,19,11,19,2454881.975,+172.6
HE 1320-1339,McDonald-Smith/Tull,IUR,6400,2009,May,08,05,17,2454959.725,+170.9
HE 2047-5612,Magellan-Clay/MIKE,IUR,7200,2012,Aug,26,01,24,2456165.562,-26.1
HE 2047-5612,Magellan-Clay/MIKE,IUR,3600,2012,Aug,26,23,35,2456166.486,-25.5
HIP 99423,McDonald-Smith/Tull,IUR,2400,2008,Sep,06,05,11,2454715.720,-115.7
