Name,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_stat,e_sys
LeoIV-S1,Fe I,50,,4.31,,-3.09,,,0.03,0.27
LeoIV-S1,Fe II,5,,4.62,,-2.89,,,0.19,0.14
LeoIV-S1,C-H,syn,<,5.16,<,,<,0.32,,
LeoIV-S1,Na I,2,,3.06,,,,-0.04,0.28,0.09
LeoIV-S1,Mg I,5,,4.73,,,,0.62,0.12,0.09
LeoIV-S1,Ca I,6,,3.40,,,,0.26,0.05,0.09
LeoIV-S1,Ti I,2,,1.89,,,,0.08,0.16,0.07
LeoIV-S1,Ti II,10,,2.14,,,,0.40,0.06,0.28
LeoIV-S1,Sc II,3,,0.25,,,,0.00,0.06,0.33
LeoIV-S1,Cr I,2,,2.00,,,,-0.44,0.10,0.11
LeoIV-S1,Ni I,2,,3.35,,,,0.16,0.26,0.07
LeoIV-S1,Sr II,1,,-1.34,,,,-0.96,,0.26
LeoIV-S1,Ba II,1,,-2.46,,,,-1.56,,0.24