ID,Simbad_Identifier,UFD,Starname,RA_hms,DEC_dms,R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source
170,Gaia DR3 1230823724501603328,Bootes I,,210.00639,14.36506,0.73,103.50,19.35,1.03,0.99,-2.50,k,p
171,Gaia DR3 1230836643762759424,Bootes I,,210.02152,14.57439,0.40,104.05,20.46,0.98,0.97,-2.82,k,p
172,Gaia DR3 1230848978908853248,Bootes I,,210.03612,14.61508,0.62,103.07,20.40,0.80,0.90,-2.32,k,p
173,Gaia DR3 1230835170589373952,Bootes I,,210.04457,14.49012,0.15,103.55,19.12,1.05,1.00,-2.28,k,p
174,Gaia DR3 1230835131934224384,Bootes I,,210.06929,14.49041,0.31,97.21,20.84,1.57,0.89,-2.51,k,p
175,Gaia DR3 1230836059647199744,Bootes I,,210.10483,14.56298,0.62,100.22,20.52,0.84,0.94,-2.59,k,p
176,Gaia DR3 1230832211356461056,Bootes I,,210.10625,14.48813,0.57,102.16,20.57,0.63,0.84,-2.42,k,p
177,Gaia DR3 1230831597176581120,Bootes I,,210.15579,14.48278,0.91,106.95,16.37,1.47,1.00,-2.26,k,p
178,Gaia DR3 1230783626686364672,Bootes I,,210.19813,14.40335,1.33,117.74,20.52,0.86,0.74,-2.60,k,p
179,Gaia DR3 1230850009701023232,Bootes I,,209.96388,14.65162,0.94,111.07,19.57,0.29,1.00,,k,p
180,Gaia DR3 1230848807110164736,Bootes I,,209.97871,14.62095,0.74,109.80,19.54,0.22,0.99,,k,p
181,Gaia DR3 1230848463512766720,Bootes I,,210.00312,14.59139,0.52,99.52,19.83,-0.10,1.00,,k,p
182,Gaia DR3 1230836953000413696,Bootes I,,210.06912,14.59167,0.56,99.39,19.62,0.40,1.00,,k,p
183,Gaia DR3 1230860867378343680,Bootes I,,210.09209,14.64394,0.87,93.84,19.54,0.13,1.00,,k,p
184,Gaia DR3 1230860798658865664,Bootes I,,210.11267,14.64176,0.93,105.37,19.65,0.23,1.00,,k,p
185,Gaia DR3 1230831524161686016,Bootes I,,210.16485,14.47441,0.98,95.13,19.65,0.14,1.00,,k,p
186,Gaia DR3 1230823174745775104,Bootes I,,209.95890,14.32901,0.99,102.50,19.74,0.77,0.11,-2.13,p
187,Gaia DR3 1230834753977115904,Bootes I,,209.97391,14.51555,0.37,124.70,20.10,0.92,0.00,-0.97,p
188,Gaia DR3 1230848326073804288,Bootes I,,209.98326,14.57381,0.50,114.80,19.08,0.95,0.00,-1.22,p
189,Gaia DR3 1230830081053217792,Bootes I,,210.00688,14.41519,0.46,93.80,18.62,1.04,0.00,-1.27,p
190,Gaia DR3 1230873649201036800,Bootes I,,210.00929,14.68729,1.02,80.40,20.30,0.72,0.00,-1.18,p
191,Gaia DR3 1230829673030965504,Bootes I,,210.01017,14.38032,0.64,103.90,20.68,1.03,0.00,-2.19,p
192,Gaia DR3 1230835097574485504,Bootes I,,210.05097,14.48945,0.19,99.20,20.92,-0.08,0.00,-2.53,p
193,Gaia DR3 1230872584049134080,Bootes I,,210.06110,14.65854,0.87,101.00,20.92,0.22,0.00,-2.19,p
194,Gaia DR3 1230832250011670784,Bootes I,,210.11075,14.49690,0.59,107.40,20.70,0.83,0.92,-2.38,p
195,Gaia DR3 1230829256419219456,Bootes I,,210.11834,14.39796,0.87,100.00,21.00,0.92,0.00,-2.70,p
196,Gaia DR3 1230784313881154048,Bootes I,,210.19823,14.44174,1.25,98.20,20.87,0.33,0.00,-2.58,p
197,,Bootes I,SDSS J135933.50+142821.6,209.88958,14.47267,0.93,117.80,21.58,0.07,0.00,-3.14,p
198,,Bootes I,SDSS J135937.60+142647.6,209.90667,14.44656,0.84,102.70,21.31,0.08,0.00,-2.44,p
199,,Bootes I,SDSS J135945.72+142230.9,209.94050,14.37525,0.85,90.30,21.41,0.06,0.00,-2.02,p
200,,Bootes I,SDSS J135947.06+142852.5,209.94608,14.48125,0.54,103.70,21.20,0.00,0.00,-2.07,p
201,,Bootes I,SDSS J135950.75+143114.2,209.96146,14.52061,0.46,94.80,21.45,0.12,0.00,-2.04,p
202,,Bootes I,SDSS J140000.99+143126.7,210.00412,14.52408,0.20,107.60,21.55,-0.03,0.00,-2.47,p
203,,Bootes I,SDSS J140010.61+143823.8,210.04421,14.63994,0.75,101.10,19.54,0.22,0.00,-2.37,p
204,,Bootes I,SDSS J140015.80+143446.8,210.06588,14.57967,0.49,118.60,21.53,-0.03,0.00,-2.93,p
205,,Bootes I,SDSS J140023.33+142607.9,210.09721,14.43556,0.62,93.40,21.53,0.10,0.00,-1.11,p
206,,Bootes I,SDSS J140028.93+142502.2,210.12058,14.41728,0.82,101.30,21.54,0.05,0.00,-2.33,p
207,,Bootes I,SDSS J140057.91+142854.0,210.24133,14.48167,1.49,98.50,21.34,-0.02,0.00,-2.05,p
208,Gaia DR3 1230849361161115904,Bootes I,,210.01448,14.66452,0.89,105.50,21.38,1.07,0.00,,p
209,,Bootes I,SDSS J135934.37+143017.1,209.89321,14.50475,0.91,77.90,21.62,0.09,0.00,,p
210,,Bootes I,SDSS J135945.70+142552.5,209.94046,14.43125,0.66,99.00,22.03,0.09,0.00,,p
211,,Bootes I,SDSS J135951.07+143049.8,209.96283,14.51383,0.44,104.80,21.68,0.03,0.00,,p
212,,Bootes I,SDSS J135953.00+142232.1,209.97088,14.37558,0.74,102.30,21.93,-0.06,0.00,,p
213,,Bootes I,SDSS J140002.28+142653.4,210.00954,14.44817,0.29,108.70,21.47,0.11,0.00,,p
214,,Bootes I,SDSS J140010.30+142626.5,210.04296,14.44072,0.35,102.10,21.70,0.09,0.00,,p
215,,Bootes I,SDSS J140020.58+143734.0,210.08579,14.62611,0.77,104.40,21.87,0.02,0.00,,p
216,,Bootes I,SDSS J140023.37+143245.2,210.09742,14.54589,0.54,97.40,21.28,-0.06,0.00,,p
217,Gaia DR3 1230834925776358656,Bootes I,,209.94143,14.52796,0.60,131.30,19.46,0.51,0.99,,l
218,Gaia DR3 1230841110529260032,Bootes I,,209.75971,14.50644,1.82,92.14,17.64,1.16,1.00,,l
219,Gaia DR3 1230819841851105536,Bootes I,,209.90330,14.19465,1.78,91.00,19.08,1.12,0.99,,l
220,Gaia DR3 1230774624435416832,Bootes I,,210.01257,14.21000,1.55,95.00,19.48,0.92,0.96,,l
221,Gaia DR3 1230767271451373824,Bootes I,,210.02437,14.05914,2.36,95.30,18.32,1.13,0.99,,l
222,Gaia DR3 1230775449069163520,Bootes I,,210.02693,14.27514,1.21,114.00,19.34,0.95,0.94,,l
223,Gaia DR3 1229895702327886336,Bootes I,,210.07118,13.65910,4.54,98.00,18.71,1.12,0.93,,l
224,Gaia DR3 1230873275539233536,Bootes I,,210.13332,14.71734,1.34,105.03,17.46,1.26,1.00,,l
225,Gaia DR3 1230713292302089728,Bootes I,,209.15700,14.10564,6.18,,19.43,0.33,0.75,,
226,Gaia DR3 1230745590456548096,Bootes I,,209.48188,14.31368,3.79,,19.69,0.12,0.99,,
227,Gaia DR3 1230744456585187328,Bootes I,,209.61219,14.33958,2.90,,20.64,1.18,0.52,,
228,Gaia DR3 1231064517547444736,Bootes I,,209.61268,15.01416,4.08,,19.52,0.45,0.90,,
229,Gaia DR3 1230717346751479808,Bootes I,,209.67074,14.03534,3.36,,18.70,1.08,0.97,,
230,Gaia DR3 1231039885910013440,Bootes I,,209.67834,14.66212,2.59,,19.29,0.99,0.96,,
231,Gaia DR3 1230731468604067328,Bootes I,,209.68330,14.27127,2.57,,20.61,1.03,0.69,,
232,Gaia DR3 1231547855987547392,Bootes I,,209.68346,15.73852,7.19,,19.67,0.22,0.65,,
233,Gaia DR3 1231048127952212224,Bootes I,,209.68586,14.88807,3.22,,19.76,0.55,0.76,,
234,Gaia DR3 1230668281045015808,Bootes I,,209.69574,13.90590,3.77,,19.72,0.19,0.98,,
235,Gaia DR3 1230837949433295872,Bootes I,,209.74540,14.38947,1.97,,20.56,0.86,0.63,,
236,Gaia DR3 1230852483602707456,Bootes I,,209.75847,14.67250,2.10,,20.16,0.99,0.84,,
237,Gaia DR3 1230825339409289728,Bootes I,,209.77648,14.31665,1.91,,19.39,0.52,0.84,,
238,Gaia DR3 1230826060963809792,Bootes I,,209.77952,14.35699,1.80,,20.36,0.80,0.79,,
239,Gaia DR3 1230850971774212608,Bootes I,,209.78081,14.61713,1.83,,19.68,0.05,1.00,,
240,Gaia DR3 1231097197954353920,Bootes I,,209.78656,15.21846,4.29,,19.65,0.92,0.72,,
241,Gaia DR3 1230839495621857024,Bootes I,,209.78757,14.40695,1.67,,20.06,0.91,0.87,,
242,Gaia DR3 1230668693361894144,Bootes I,,209.79164,13.93685,3.32,,19.52,0.44,0.69,,
243,Gaia DR3 1231042321156413696,Bootes I,,209.79239,14.77654,2.25,,20.55,0.97,0.76,,
244,Gaia DR3 1230841144888992256,Bootes I,,209.79748,14.48898,1.56,,19.69,0.10,1.00,,
245,Gaia DR3 1231073970770833664,Bootes I,,209.81997,15.00991,3.16,,20.94,0.73,0.63,,
246,Gaia DR3 1231067163247259904,Bootes I,,209.82685,14.84828,2.38,,19.52,0.33,0.99,,
247,Gaia DR3 1230851246652121344,Bootes I,,209.84872,14.62471,1.42,,19.17,1.13,0.95,,
248,Gaia DR3 1230678314088732672,Bootes I,,209.84955,14.10324,2.37,,20.20,0.76,0.58,,
249,Gaia DR3 1230827542727194624,Bootes I,,209.85214,14.38899,1.29,,20.64,0.72,0.80,,
250,Gaia DR3 1230651925809484800,Bootes I,,209.85708,13.80260,3.83,,19.72,0.12,0.98,,
251,Gaia DR3 1230827538432572416,Bootes I,,209.85726,14.39589,1.24,,19.44,0.67,0.97,,
252,Gaia DR3 1230826679439105024,Bootes I,,209.85783,14.37071,1.30,,20.57,0.88,0.78,,
253,Gaia DR3 1230848016836700416,Bootes I,,209.86137,14.58644,1.24,,20.82,0.68,0.89,,
254,Gaia DR3 1231073829036540160,Bootes I,,209.86327,15.00787,3.01,,19.70,0.42,0.87,,
255,Gaia DR3 1230847364001656832,Bootes I,,209.86582,14.55203,1.15,,19.74,0.03,1.00,,
256,Gaia DR3 1230819704412148224,Bootes I,,209.87232,14.17873,1.95,,19.50,0.26,1.00,,
257,Gaia DR3 1231098980365655296,Bootes I,,209.87641,15.26266,4.28,,19.49,0.88,0.86,,
258,Gaia DR3 1231067678643343104,Bootes I,,209.89229,14.88711,2.32,,19.66,0.97,0.95,,
259,Gaia DR3 1231099014725393408,Bootes I,,209.89410,15.26219,4.24,,19.58,0.12,0.99,,
260,Gaia DR3 1230846539367928832,Bootes I,,209.89438,14.53361,0.93,,19.67,0.11,0.99,,
261,Gaia DR3 1230828156907873792,Bootes I,,209.89486,14.43174,0.94,,19.62,0.12,0.99,,
262,Gaia DR3 1230820151088760832,Bootes I,,209.89824,14.22768,1.65,,19.46,1.04,0.95,,
263,Gaia DR3 1230826542000661504,Bootes I,,209.90507,14.36265,1.06,,19.86,0.84,0.91,,
264,Gaia DR3 1230878253406017024,Bootes I,,209.91093,14.77480,1.72,,20.87,1.07,0.82,,
265,Gaia DR3 1230853553049414400,Bootes I,,209.91204,14.71430,1.43,,18.98,1.08,0.99,,
266,Gaia DR3 1230823312184727808,Bootes I,,209.91798,14.32722,1.14,,20.86,0.47,0.68,,
267,Gaia DR3 1230827160475452928,Bootes I,,209.91876,14.40405,0.86,,20.32,1.15,0.92,,
268,Gaia DR3 1231066647851184896,Bootes I,,209.92313,14.84950,2.04,,18.62,1.08,0.99,,
269,Gaia DR3 1230651341693932544,Bootes I,,209.92565,13.80315,3.75,,19.52,0.22,0.99,,
270,Gaia DR3 1230846745526362624,Bootes I,,209.92794,14.54405,0.72,,18.79,0.88,0.97,,
271,Gaia DR3 1230849837902330368,Bootes I,,209.94273,14.64852,1.01,,19.59,0.23,1.00,,
272,Gaia DR3 1230834135502357504,Bootes I,,209.94697,14.46561,0.55,,19.58,0.54,0.96,,
273,Gaia DR3 1230833276508895744,Bootes I,,209.94754,14.44997,0.58,,19.96,0.87,0.72,,
274,Gaia DR3 1230878837521588736,Bootes I,,209.95242,14.82159,1.83,,20.47,0.83,0.67,,
275,Gaia DR3 1230772597210842624,Bootes I,,209.95568,14.16816,1.81,,19.43,0.51,0.95,,
276,Gaia DR3 1230846814245300736,Bootes I,,209.95721,14.54836,0.55,,20.70,0.62,0.74,,
277,Gaia DR3 1230848704030941184,Bootes I,,209.96416,14.60385,0.72,,18.81,0.96,1.00,,
278,Gaia DR3 1230848708325982208,Bootes I,,209.96553,14.59984,0.70,,20.63,0.64,0.91,,
279,Gaia DR3 1230877772369686272,Bootes I,,209.97579,14.78907,1.61,,19.54,1.08,0.92,,
280,Gaia DR3 1230836540683527936,Bootes I,,209.98028,14.54639,0.41,,19.53,0.40,1.00,,
281,Gaia DR3 1230848326073809408,Bootes I,,209.98331,14.58193,0.54,,19.58,0.54,0.72,,
282,Gaia DR3 1230834994495293952,Bootes I,,209.98427,14.53382,0.34,,20.22,0.94,0.96,,
283,Gaia DR3 1231068434557592832,Bootes I,,209.99120,14.91901,2.27,,19.65,0.22,0.99,,
284,Gaia DR3 1230822040874388224,Bootes I,,209.99145,14.26899,1.24,,20.70,0.61,0.51,,
285,Gaia DR3 1230833517027065600,Bootes I,,209.99869,14.45941,0.27,,19.41,0.60,0.94,,
286,Gaia DR3 1230829668736347904,Bootes I,,210.00170,14.38738,0.61,,19.16,1.04,1.00,,
287,Gaia DR3 1230878700082638336,Bootes I,,210.00525,14.83133,1.79,,20.31,0.93,0.91,,
288,Gaia DR3 1230877531851510272,Bootes I,,210.00957,14.77154,1.47,,19.12,1.00,0.99,,
289,Gaia DR3 1230833860623901696,Bootes I,,210.01187,14.48568,0.11,,20.90,-0.21,0.98,,
290,Gaia DR3 1230830012333739008,Bootes I,,210.01649,14.40727,0.50,,19.60,0.21,1.00,,
291,Gaia DR3 1230873614841298944,Bootes I,,210.01965,14.68868,1.01,,20.62,0.47,0.68,,
292,Gaia DR3 1230830497665159680,Bootes I,,210.02163,14.44077,0.32,,19.65,-0.07,1.00,,
293,Gaia DR3 1230833482666763264,Bootes I,,210.02354,14.45130,0.26,,19.38,0.66,0.98,,
294,Gaia DR3 1230873786640002304,Bootes I,,210.02541,14.71379,1.15,,19.61,0.53,0.99,,
295,Gaia DR3 1231068778154976256,Bootes I,,210.02653,14.91695,2.23,,19.42,1.02,0.79,,
296,Gaia DR3 1230835441171882496,Bootes I,,210.02657,14.51549,0.08,,20.65,0.85,0.91,,
297,Gaia DR3 1230836437604328704,Bootes I,,210.03704,14.57336,0.40,,19.52,0.55,0.98,,
298,Gaia DR3 1230877566211251712,Bootes I,,210.04219,14.77930,1.49,,19.14,1.03,1.00,,
299,Gaia DR3 1230775483428906496,Bootes I,,210.04608,14.28973,1.15,,20.39,0.66,0.50,,
300,Gaia DR3 1230772047455028224,Bootes I,,210.04614,14.16752,1.80,,20.53,0.98,0.52,,
301,Gaia DR3 1230829771815569664,Bootes I,,210.04618,14.40544,0.54,,19.37,0.64,0.96,,
302,Gaia DR3 1230659588031211264,Bootes I,,210.05592,13.91323,3.17,,19.01,0.98,0.90,,
303,Gaia DR3 1230879181118967808,Bootes I,,210.05699,14.80942,1.66,,20.63,0.58,0.62,,
304,Gaia DR3 1230874164597130496,Bootes I,,210.06166,14.72849,1.23,,19.44,1.01,0.99,,
305,Gaia DR3 1230829393857871616,Bootes I,,210.06497,14.40355,0.60,,19.63,0.20,1.00,,
306,Gaia DR3 1230830184131867392,Bootes I,,210.06672,14.42473,0.51,,19.15,1.07,1.00,,
307,Gaia DR3 1230835544251105280,Bootes I,,210.06731,14.52972,0.32,,20.66,0.71,0.87,,
308,Gaia DR3 1230828947181261824,Bootes I,,210.07734,14.38042,0.76,,18.90,1.13,1.00,,
309,Gaia DR3 1230661065502765824,Bootes I,,210.08096,13.99395,2.77,,18.12,1.13,0.99,,
310,Gaia DR3 1230873412977867520,Bootes I,,210.08316,14.72135,1.22,,20.51,0.66,0.85,,
311,Gaia DR3 1230829118979954432,Bootes I,,210.08941,14.38281,0.79,,19.86,1.01,0.99,,
312,Gaia DR3 1230860695583613696,Bootes I,,210.08976,14.62465,0.78,,19.52,0.56,1.00,,
313,Gaia DR3 1231078398881778432,Bootes I,,210.09065,15.08788,3.15,,19.81,-0.16,0.64,,
314,Gaia DR3 1230887083858828032,Bootes I,,210.09103,14.94891,2.42,,20.09,1.09,0.85,,
315,Gaia DR3 1230829153339697664,Bootes I,,210.10535,14.39135,0.83,,20.37,1.06,0.96,,
316,Gaia DR3 1230835853488763136,Bootes I,,210.10727,14.55231,0.61,,19.52,0.60,1.00,,
317,Gaia DR3 1230859630427736832,Bootes I,,210.11190,14.59251,0.75,,19.46,0.32,1.00,,
318,Gaia DR3 1230861210975733504,Bootes I,,210.12488,14.65789,1.05,,19.87,1.00,0.97,,
319,Gaia DR3 1230835784769285632,Bootes I,,210.12736,14.55158,0.74,,19.51,0.32,0.99,,
320,Gaia DR3 1230874748712681984,Bootes I,,210.13725,14.72687,1.39,,19.59,0.37,0.96,,
321,Gaia DR3 1230780637390847232,Bootes I,,210.15527,14.31491,1.38,,20.80,0.54,0.78,,
322,Gaia DR3 1230777201415813632,Bootes I,,210.16811,14.25687,1.69,,20.54,0.80,0.53,,
323,Gaia DR3 1230860111464091648,Bootes I,,210.16937,14.62892,1.17,,19.63,0.07,1.00,,
324,Gaia DR3 1230859909601056768,Bootes I,,210.17197,14.61236,1.14,,20.10,0.89,0.96,,
325,Gaia DR3 1229890376568407296,Bootes I,,210.17969,13.55215,5.26,,19.68,0.17,0.86,,
326,Gaia DR3 1230875538986689536,Bootes I,,210.18061,14.78411,1.80,,20.56,0.78,0.79,,
327,Gaia DR3 1230783729765579520,Bootes I,,210.18768,14.40273,1.26,,20.74,0.74,0.74,,
328,Gaia DR3 1231459963776551936,Bootes I,,210.19247,15.28623,4.29,,19.64,0.20,0.97,,
329,Gaia DR3 1230777270134712064,Bootes I,,210.19585,14.26598,1.78,,20.64,0.62,0.69,,
330,Gaia DR3 1230875435907473920,Bootes I,,210.19759,14.78402,1.86,,20.39,1.16,0.64,,
331,Gaia DR3 1230855163661700608,Bootes I,,210.20173,14.50640,1.21,,20.17,0.88,0.92,,
332,Gaia DR3 1230769882791510528,Bootes I,,210.20489,14.16427,2.25,,20.77,1.01,0.65,,
333,Gaia DR3 1230875474562491904,Bootes I,,210.21257,14.79886,1.98,,19.68,0.17,0.98,,
334,Gaia DR3 1230863513078248704,Bootes I,,210.21792,14.75422,1.83,,19.21,0.88,0.93,,
335,Gaia DR3 1230784039003230720,Bootes I,,210.22499,14.41309,1.48,,20.65,0.70,0.52,,
336,Gaia DR3 1230881792459098624,Bootes I,,210.23772,14.85467,2.31,,19.69,0.95,0.72,,
337,Gaia DR3 1230856572411010304,Bootes I,,210.24859,14.57166,1.55,,19.84,0.72,0.75,,
338,Gaia DR3 1230756791731180032,Bootes I,,210.27146,14.09729,2.83,,20.78,0.83,0.60,,
339,Gaia DR3 1230776376781505536,Bootes I,,210.27720,14.24164,2.29,,19.46,0.63,0.51,,
340,Gaia DR3 1230779473453197056,Bootes I,,210.28911,14.34780,2.04,,20.42,0.91,0.55,,
341,Gaia DR3 1230882273495441408,Bootes I,,210.29304,14.87886,2.64,,19.59,0.27,0.94,,
342,Gaia DR3 1231265251434486016,Bootes I,,210.29471,15.10058,3.60,,16.31,1.44,1.00,,
343,Gaia DR3 1230753561915765760,Bootes I,,210.30546,14.06466,3.13,,20.80,0.96,0.56,,
344,Gaia DR3 1230857465764224256,Bootes I,,210.30977,14.60247,1.99,,19.64,0.15,1.00,,
345,Gaia DR3 1230751534691179520,Bootes I,,210.31906,13.94736,3.70,,20.08,1.00,0.62,,
346,Gaia DR3 1230764179074370304,Bootes I,,210.32553,14.18046,2.77,,19.99,0.99,0.76,,
347,Gaia DR3 1230751981367787008,Bootes I,,210.32660,13.99796,3.51,,19.72,1.14,0.86,,
348,Gaia DR3 1230763423160123392,Bootes I,,210.32679,14.16674,2.83,,18.19,1.08,0.98,,
349,Gaia DR3 1230857190886308352,Bootes I,,210.33151,14.58303,2.12,,19.84,0.88,0.80,,
350,Gaia DR3 1230884335079756288,Bootes I,,210.34918,14.93722,3.11,,20.96,0.44,0.74,,
351,Gaia DR3 1230884472518714368,Bootes I,,210.37436,14.96069,3.31,,19.73,1.13,0.82,,
352,Gaia DR3 1230864990546977792,Bootes I,,210.37687,14.70699,2.58,,19.83,1.01,0.79,,
353,Gaia DR3 1231264907837100800,Bootes I,,210.38561,15.11408,3.97,,16.52,1.41,1.00,,
354,Gaia DR3 1230809774447356928,Bootes I,,210.45113,14.57703,2.92,,19.57,0.64,0.64,,
355,Gaia DR3 1230789197259464192,Bootes I,,210.47068,14.27833,3.36,,20.04,1.04,0.67,,
356,Gaia DR3 1230805651278706432,Bootes I,,210.47713,14.49475,3.10,,19.13,1.17,0.62,,
357,Gaia DR3 1231271431892634624,Bootes I,,210.69886,15.25604,5.92,,19.49,1.01,0.57,,
358,Gaia DR3 1231258478271048192,Bootes I,,210.70010,15.15507,5.60,,19.65,0.30,0.81,,
359,Gaia DR3 1229802209479252992,Bootes I,,210.72214,13.08108,9.28,,19.64,0.02,0.61,,